SCATS Number,Location,CD_MELWAY,NB_LATITUDE,NB_LONGITUDE,datetime,Flow (Veh/hr)
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 20:00,572
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 21:00,523
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 22:00,436
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,4/10/2006 23:00,240
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 0:00,111
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 1:00,55
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 2:00,28
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 3:00,25
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 4:00,61
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 5:00,195
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 6:00,693
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 7:00,1222
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 8:00,1533
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 9:00,1376
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 10:00,1195
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 11:00,1213
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 12:00,1228
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 13:00,1173
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 14:00,1170
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 15:00,1294
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 16:00,1494
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 17:00,1477
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 18:00,1229
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 19:00,937
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 20:00,641
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 21:00,563
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 22:00,419
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,5/10/2006 23:00,201
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 0:00,106
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 1:00,74
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 2:00,36
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 3:00,39
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 4:00,54
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 5:00,170
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 6:00,749
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 7:00,1284
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 8:00,1532
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 9:00,1374
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 10:00,1258
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 11:00,1272
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 12:00,1238
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 13:00,1253
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 14:00,1256
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 15:00,1371
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 16:00,1336
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 17:00,1457
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 18:00,1356
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 19:00,1041
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 20:00,635
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 21:00,567
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 22:00,499
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,6/10/2006 23:00,369
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 0:00,230
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 1:00,137
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 2:00,89
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 3:00,88
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 4:00,87
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 5:00,131
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 6:00,350
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 7:00,551
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 8:00,937
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 9:00,1202
970,WARRIGAL_RD N of HIGH STREET_RD,060 G10,-37.86703,145.09159,7/10/2006 10:00,1311
